epoch,brotli_bytes,h0,hoe,mean_steps,wall_s
131136,131660,4.7289,2.7199,663.0,88.7
131200,135936,4.6765,2.6023,564.4,141.7
131264,139765,4.6556,2.5229,508.0,195.0
131328,155428,4.7190,2.3474,384.5,248.3
131392,155414,4.7722,2.4008,480.5,308.1
131456,142766,4.7699,2.5915,668.5,395.3
131520,129293,4.7500,2.7771,902.0,553.1
131584,124091,4.7954,2.9020,924.3,707.1
131648,134654,4.8335,2.7788,863.3,879.6
131712,136229,4.9175,2.8388,995.9,1082.2
131776,148602,4.8980,2.6305,884.9,1292.4
131840,154236,4.9395,2.5861,658.6,1391.0
131904,147608,4.9073,2.6550,747.1,1561.8
131968,154377,4.9193,2.5637,599.8,1625.8
132032,175160,4.9781,2.3054,437.0,1677.6
132096,188056,5.0263,2.1568,423.7,1733.0
132160,198573,5.0748,2.0448,443.1,1788.9
132224,209154,5.1367,1.9452,463.4,1860.9
132288,215278,5.1895,1.9047,555.6,1980.8
132352,215966,5.1831,1.8877,589.1,2132.7
132416,216815,5.2113,1.9030,537.6,2282.8
132480,201802,5.1767,2.0975,606.7,2382.1
132544,192972,5.1478,2.2033,562.6,2441.9
132608,182979,5.1188,2.3268,618.5,2503.0
132672,167236,5.0996,2.5478,640.7,2575.7
132736,178867,5.1738,2.4445,530.0,2632.2
132800,186807,5.2905,2.4400,465.5,2680.9
132864,176997,5.3006,2.5998,587.2,2743.2
132928,152999,5.2954,2.9609,724.8,2876.6
132992,148852,5.3049,3.0336,717.1,3037.3
133056,144437,5.2913,3.0874,748.1,3384.2
133120,141189,5.2725,3.1181,811.1,3811.9
133184,142589,5.2663,3.0905,745.7,4873.6
133248,138957,5.2661,3.1458,864.1,5061.7
133312,144068,5.2958,3.0975,813.4,5244.7
133376,145531,5.3348,3.1142,872.2,5432.6
133440,141328,5.3743,3.2178,987.2,5621.8
133504,144854,5.3879,3.1776,969.0,5806.4
133568,138337,5.4112,3.3003,1328.4,6002.3
