epoch,brotli_size,soup_size,higher_entropy
1,524316,8192,-0.000757
65,517701,8192,0.099099
129,512587,8192,0.175497
193,510320,8192,0.208770
257,507238,8192,0.254295
321,504821,8192,0.289085
385,502633,8192,0.320417
449,501975,8192,0.328865
513,500529,8192,0.347745
577,499994,8192,0.351815
641,499286,8192,0.357590
705,499220,8192,0.353929
769,498780,8192,0.353902
833,499429,8192,0.337575
897,499620,8192,0.328937
961,499156,8192,0.328565
1025,498712,8192,0.329048
1089,499149,8192,0.318677
1153,499076,8192,0.316870
1217,499259,8192,0.306215
1281,499357,8192,0.298101
1345,497637,8192,0.313845
1409,495665,8192,0.336096
1473,496579,8192,0.318139
1537,497389,8192,0.303315
1601,499052,8192,0.272200
1665,499360,8192,0.263327
1729,499960,8192,0.247189
1793,498956,8192,0.252968
1857,497944,8192,0.255315
1921,498154,8192,0.244125
1985,496759,8192,0.253222
2049,495867,8192,0.257046
2113,496209,8192,0.244866
2177,494381,8192,0.263269
2241,494230,8192,0.258541
2305,493138,8192,0.267294
2369,491108,8192,0.285398
2433,491170,8192,0.270335
2497,489855,8192,0.288372
2561,490158,8192,0.277129
2625,490406,8192,0.272924
2689,490558,8192,0.261439
2753,489613,8192,0.265693
2817,489641,8192,0.259330
2881,488895,8192,0.265646
2945,489626,8192,0.247164
3009,490201,8192,0.234363
3073,490358,8192,0.228407
3137,491271,8192,0.211617
3201,491674,8192,0.202325
3265,491277,8192,0.201695
3329,490068,8192,0.201470
3393,490332,8192,0.192853
3457,489612,8192,0.194709
3521,489546,8192,0.184861
3585,489664,8192,0.178370
3649,489765,8192,0.166960
3713,489044,8192,0.175083
3777,488935,8192,0.162672
3841,490093,8192,0.143343
3905,491049,8192,0.128840
3969,491002,8192,0.121598
4033,491542,8192,0.113223
4097,490902,8192,0.114982
4161,490890,8192,0.111179
4225,490551,8192,0.108410
4289,490788,8192,0.101808
4353,489949,8192,0.116078
4417,491101,8192,0.100822
4481,491113,8192,0.100722
4545,491350,8192,0.096789
4609,490889,8192,0.108714
4673,490659,8192,0.111358
4737,490510,8192,0.112649
4801,489716,8192,0.118331
4865,490153,8192,0.110472
4929,490360,8192,0.102771
4993,490349,8192,0.100791
5057,490689,8192,0.092909
5121,490784,8192,0.090586
5185,490851,8192,0.094611
5249,490097,8192,0.097186
5313,489295,8192,0.103123
5377,489100,8192,0.101669
5441,489737,8192,0.094273
5505,489749,8192,0.095172
5569,490067,8192,0.093832
5633,489811,8192,0.099162
5697,489302,8192,0.103270
5761,489585,8192,0.094198
5825,489268,8192,0.090967
5889,488747,8192,0.098425
5953,489540,8192,0.090840
6017,488986,8192,0.100215
6081,489038,8192,0.100433
6145,488126,8192,0.109497
6209,488147,8192,0.109883
6273,488702,8192,0.096236
6337,488254,8192,0.096810
6401,487478,8192,0.099588
6465,487364,8192,0.097513
6529,487086,8192,0.091619
6593,487117,8192,0.080145
6657,487344,8192,0.076850
6721,487498,8192,0.076739
6785,487567,8192,0.084297
6849,487037,8192,0.091584
6913,487931,8192,0.087009
6977,488508,8192,0.078179
7041,488591,8192,0.072394
7105,488154,8192,0.076898
7169,487745,8192,0.076749
7233,488023,8192,0.075345
7297,487800,8192,0.077228
7361,488002,8192,0.075383
7425,488014,8192,0.070532
7489,488275,8192,0.070008
7553,486930,8192,0.091127
7617,487353,8192,0.081709
7681,487496,8192,0.074787
7745,487653,8192,0.081248
7809,487571,8192,0.081715
7873,487687,8192,0.081168
7937,487318,8192,0.095294
8001,487072,8192,0.095491
8065,487176,8192,0.091907
8129,487353,8192,0.092090
8193,486664,8192,0.097335
8257,487274,8192,0.089333
8321,486817,8192,0.099510
8385,486910,8192,0.094951
8449,486865,8192,0.094673
8513,487068,8192,0.091003
8577,487707,8192,0.080670
8641,486989,8192,0.087349
8705,487419,8192,0.090462
8769,486182,8192,0.108777
8833,486504,8192,0.098964
8897,487316,8192,0.092540
8961,486906,8192,0.095233
9025,485562,8192,0.110472
9089,486920,8192,0.091800
9153,487278,8192,0.090867
9217,487287,8192,0.094816
9281,488113,8192,0.086973
9345,488310,8192,0.084951
9409,488674,8192,0.081268
9473,488361,8192,0.086524
9537,488617,8192,0.084395
9601,488012,8192,0.094317
9665,488767,8192,0.087189
9729,488831,8192,0.090093
9793,489448,8192,0.087750
9857,489570,8192,0.091441
9921,489952,8192,0.087340
9985,490078,8192,0.090528
10049,489863,8192,0.097732
10113,490123,8192,0.096889
10177,489732,8192,0.104682
10241,489359,8192,0.105605
10305,489023,8192,0.106538
10369,488944,8192,0.098524
10433,488506,8192,0.104405
10497,488661,8192,0.099331
10561,487995,8192,0.107957
10625,488626,8192,0.105624
10689,488153,8192,0.110613
10753,488485,8192,0.106603
10817,488329,8192,0.105630
10881,488110,8192,0.107164
10945,487504,8192,0.115050
11009,487038,8192,0.120037
11073,486509,8192,0.127249
11137,486431,8192,0.119440
11201,485220,8192,0.130342
11265,485182,8192,0.132612
11329,485842,8192,0.125820
11393,485718,8192,0.121579
11457,485683,8192,0.120226
11521,484157,8192,0.143388
11585,485139,8192,0.135267
11649,485648,8192,0.130204
11713,485521,8192,0.137882
11777,485479,8192,0.131843
11841,485270,8192,0.131198
11905,485012,8192,0.133108
11969,484804,8192,0.130960
12033,482436,8192,0.158011
12097,482886,8192,0.148654
12161,481956,8192,0.156284
12225,482558,8192,0.151009
12289,482543,8192,0.140718
12353,482778,8192,0.142359
12417,483657,8192,0.129409
12481,484338,8192,0.126242
12545,484086,8192,0.123505
12609,483812,8192,0.118686
12673,482986,8192,0.127514
12737,482620,8192,0.133661
12801,482601,8192,0.133617
12865,482519,8192,0.132187
12929,481712,8192,0.140785
12993,481245,8192,0.143810
13057,481241,8192,0.145693
13121,481231,8192,0.140534
13185,481750,8192,0.133604
13249,481495,8192,0.135463
13313,481102,8192,0.138319
13377,482006,8192,0.122717
13441,482636,8192,0.118222
13505,482302,8192,0.119398
13569,482589,8192,0.122785
13633,483599,8192,0.111940
13697,483770,8192,0.115635
13761,483335,8192,0.113545
13825,483366,8192,0.115321
13889,483411,8192,0.112268
13953,483503,8192,0.110646
14017,483853,8192,0.107337
14081,483780,8192,0.105102
14145,483010,8192,0.113889
14209,482138,8192,0.124829
14273,482082,8192,0.133413
14337,481823,8192,0.142330
14401,482915,8192,0.131375
14465,484054,8192,0.120922
14529,483384,8192,0.133139
14593,483232,8192,0.133508
14657,483278,8192,0.134846
14721,484040,8192,0.123657
14785,484124,8192,0.120321
14849,484871,8192,0.108829
14913,484350,8192,0.113860
14977,484307,8192,0.120055
15041,484592,8192,0.115669
15105,484576,8192,0.108312
15169,485182,8192,0.105067
15233,486203,8192,0.096403
15297,486404,8192,0.094589
15361,486161,8192,0.096223
15425,485909,8192,0.100819
15489,486573,8192,0.088393
15553,485712,8192,0.098238
15617,486485,8192,0.090879
15681,486513,8192,0.092580
15745,487074,8192,0.088707
15809,487807,8192,0.087202
15873,487410,8192,0.093829
15937,487113,8192,0.092655
16001,486338,8192,0.102960
16065,485148,8192,0.110421
16129,485306,8192,0.115003
16193,485411,8192,0.107830
16257,483776,8192,0.127990
16321,484303,8192,0.123440
16385,484097,8192,0.129468
16449,484518,8192,0.123869
16513,485048,8192,0.120067
16577,485429,8192,0.112955
16641,485463,8192,0.116804
16705,484456,8192,0.128684
16769,484957,8192,0.119757
16833,484118,8192,0.130926
16897,483698,8192,0.131494
16961,484019,8192,0.127068
17025,482260,8192,0.142912
17089,481556,8192,0.153546
17153,481677,8192,0.154583
17217,482252,8192,0.143905
17281,481362,8192,0.152291
17345,481895,8192,0.142860
17409,481253,8192,0.156597
17473,481920,8192,0.143820
17537,482008,8192,0.141648
17601,482467,8192,0.133075
17665,483013,8192,0.135520
17729,483975,8192,0.121549
17793,484361,8192,0.127558
